,age,age_o,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,3,11,9,19,17,9,9,9,0,2,7,9,9,7,7,7,29,39,39,39,34,29,44,34,34,29,24,44,9,39,44,4,4,24,4,24,29,44,4,49,49,44,39,4,28,14,34,1
1,3,4,9,19,29,0,0,19,0,0,7,9,9,7,7,7,29,39,39,39,34,34,39,34,39,24,29,44,9,39,44,4,4,24,4,24,29,44,4,49,49,44,39,4,38,14,34,1
2,3,6,9,19,14,2,7,19,2,2,7,9,9,7,7,7,29,39,39,39,34,34,29,39,34,29,39,44,9,39,44,4,4,24,4,24,29,44,4,49,49,44,39,4,40,14,34,1
3,3,7,9,19,14,4,9,4,4,9,7,9,9,7,7,7,29,39,39,39,34,24,29,34,34,29,29,44,9,39,44,4,4,24,4,24,29,44,4,49,49,44,39,4,30,14,29,1
4,3,8,9,19,24,0,14,4,0,4,7,9,9,7,7,7,29,39,39,39,34,19,44,34,19,29,19,44,9,39,44,4,4,24,4,24,29,44,4,49,49,44,39,4,31,14,29,0
5,3,14,9,19,17,7,12,4,2,4,7,9,9,7,7,7,29,39,39,39,34,34,29,34,19,29,34,44,9,39,44,4,4,24,4,24,29,44,4,49,49,44,39,4,33,14,29,1
6,3,12,9,19,24,0,12,4,0,7,7,9,9,7,7,7,29,39,39,39,34,34,29,39,44,39,39,44,9,39,44,4,4,24,4,24,29,44,4,49,49,44,39,4,31,14,34,1
8,7,11,9,24,17,9,9,9,0,2,22,2,12,9,0,2,34,24,49,39,14,24,34,39,19,29,14,14,9,34,49,39,29,14,24,39,49,4,44,39,34,39,14,4,32,19,29,0
9,7,4,9,24,29,0,0,19,0,0,22,2,12,9,0,2,34,24,49,39,14,39,24,29,29,44,29,14,9,34,49,39,29,14,24,39,49,4,44,39,34,39,14,4,29,19,34,0
11,7,6,9,24,14,2,7,19,2,2,22,2,12,9,0,2,34,24,49,39,14,34,44,34,29,24,34,14,9,34,49,39,29,14,24,39,49,4,44,39,34,39,14,4,19,19,34,1
14,7,14,9,24,17,7,12,4,2,4,22,2,12,9,0,2,34,24,49,39,14,34,24,44,29,34,44,14,9,34,49,39,29,14,24,39,49,4,44,39,34,39,14,4,39,19,39,1
16,7,12,9,24,24,0,12,4,0,7,22,2,12,9,0,2,34,24,49,39,14,34,29,39,44,19,24,14,9,34,49,39,29,14,24,39,49,4,44,39,34,39,14,4,27,19,24,1
17,7,7,9,24,49,0,0,0,0,0,22,2,12,9,0,2,34,24,49,39,14,29,34,39,34,44,39,14,9,34,49,39,29,14,24,39,49,4,44,39,34,39,14,4,34,19,39,1
18,6,11,4,4,17,9,9,9,0,2,9,9,9,9,4,4,34,39,44,34,39,19,49,39,24,39,34,4,4,29,34,29,34,34,24,34,34,34,44,34,39,34,4,39,20,4,29,0
19,6,4,4,4,29,0,0,19,0,0,9,9,9,9,4,4,34,39,44,34,39,39,34,39,49,34,39,4,4,29,34,29,34,34,24,34,34,34,44,34,39,34,4,39,20,4,39,0
20,6,4,4,4,9,8,9,8,6,5,9,9,9,9,4,4,34,39,44,34,39,19,34,39,39,29,34,4,4,29,34,29,34,34,24,34,34,34,44,34,39,34,4,39,26,4,19,0
21,6,6,4,4,14,2,7,19,2,2,9,9,9,9,4,4,34,39,44,34,39,39,49,34,49,34,49,4,4,29,34,29,34,34,24,34,34,34,44,34,39,34,4,39,20,4,39,1
22,6,7,4,4,14,4,9,4,4,9,9,9,9,9,4,4,34,39,44,34,39,29,44,39,44,39,44,4,4,29,34,29,34,34,24,34,34,34,44,34,39,34,4,39,30,4,34,0
23,6,8,4,4,24,0,14,4,0,4,9,9,9,9,4,4,34,39,44,34,39,24,49,39,19,39,9,4,4,29,34,29,34,34,24,34,34,34,44,34,39,34,4,39,34,4,19,0
24,6,14,4,4,17,7,12,4,2,4,9,9,9,9,4,4,34,39,44,34,39,34,49,49,34,49,24,4,4,29,34,29,34,34,24,34,34,34,44,34,39,34,4,39,33,4,24,0
25,6,11,4,4,16,5,5,5,5,11,9,9,9,9,4,4,34,39,44,34,39,24,44,44,24,44,34,4,4,29,34,29,34,34,24,34,34,34,44,34,39,34,4,39,28,4,29,0
27,6,7,4,4,49,0,0,0,0,0,9,9,9,9,4,4,34,39,44,34,39,39,44,49,49,39,39,4,4,29,34,29,34,34,24,34,34,34,44,34,39,34,4,39,20,4,49,1
28,6,11,4,4,17,9,9,9,0,2,4,12,9,12,2,7,24,34,39,44,24,29,44,34,29,34,29,49,39,44,34,39,34,44,9,29,44,9,24,29,29,19,4,4,33,19,29,1
29,6,4,4,4,29,0,0,19,0,0,4,12,9,12,2,7,24,34,39,44,24,29,44,44,29,39,9,49,39,44,34,39,34,44,9,29,44,9,24,29,29,19,4,4,34,19,34,1
30,6,4,4,4,9,8,9,8,6,5,4,12,9,12,2,7,24,34,39,44,24,19,34,44,19,14,9,49,39,44,34,39,34,44,9,29,44,9,24,29,29,19,4,4,12,19,29,0
31,6,6,4,4,14,2,7,19,2,2,4,12,9,12,2,7,24,34,39,44,24,39,29,34,39,9,39,49,39,44,34,39,34,44,9,29,44,9,24,29,29,19,4,4,27,19,44,1
33,6,8,4,4,24,0,14,4,0,4,4,12,9,12,2,7,24,34,39,44,24,14,34,29,4,4,4,49,39,44,34,39,34,44,9,29,44,9,24,29,29,19,4,4,29,19,9,0
34,6,14,4,4,17,7,12,4,2,4,4,12,9,12,2,7,24,34,39,44,24,39,39,39,39,14,19,49,39,44,34,39,34,44,9,29,44,9,24,29,29,19,4,4,36,19,39,1
36,6,12,4,4,24,0,12,4,0,7,4,12,9,12,2,7,24,34,39,44,24,34,29,39,39,29,44,49,39,44,34,39,34,44,9,29,44,9,24,29,29,19,4,4,36,19,44,1
37,6,7,4,4,49,0,0,0,0,0,4,12,9,12,2,7,24,34,39,44,24,39,44,44,44,49,34,49,39,44,34,39,34,44,9,29,44,9,24,29,29,19,4,4,35,19,44,1
39,4,4,9,19,29,0,0,19,0,0,7,7,12,9,7,4,29,29,24,34,34,29,29,39,19,44,19,24,14,19,49,49,49,9,14,39,39,39,49,49,49,49,49,49,30,34,34,0
40,4,4,9,19,9,8,9,8,6,5,7,7,12,9,7,4,29,29,24,34,34,14,29,39,34,39,39,24,14,19,49,49,49,9,14,39,39,39,49,49,49,49,49,49,37,34,34,0
41,4,6,9,19,14,2,7,19,2,2,7,7,12,9,7,4,29,29,24,34,34,34,39,39,34,34,29,24,14,19,49,49,49,9,14,39,39,39,49,49,49,49,49,49,13,34,39,1
42,4,7,9,19,14,4,9,4,4,9,7,7,12,9,7,4,29,29,24,34,34,19,34,34,19,39,24,24,14,19,49,49,49,9,14,39,39,39,49,49,49,49,49,49,18,34,24,0
43,4,8,9,19,24,0,14,4,0,4,7,7,12,9,7,4,29,29,24,34,34,19,39,34,19,24,19,24,14,19,49,49,49,9,14,39,39,39,49,49,49,49,49,49,39,34,24,0
44,4,14,9,19,17,7,12,4,2,4,7,7,12,9,7,4,29,29,24,34,34,34,34,39,34,34,34,24,14,19,49,49,49,9,14,39,39,39,49,49,49,49,49,49,32,34,39,1
