,age,age_o,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
529,9,8,4,4,14,0,14,14,4,0,14,4,9,9,4,4,44,44,44,44,44,29,39,39,34,34,39,39,24,34,39,29,29,34,34,34,34,14,9,44,34,44,44,9,30,24,34,1
4218,16,11,44,24,14,9,7,7,3,5,5,12,12,3,7,7,34,49,29,39,39,44,29,29,29,24,14,44,9,49,44,39,39,39,34,34,44,44,44,44,44,44,24,34,19,29,24,0
3474,11,12,4,4,12,9,9,12,0,4,24,4,4,4,4,4,44,44,44,44,44,49,49,49,49,49,49,44,29,29,29,19,19,39,29,29,39,4,24,14,14,34,9,34,29,24,49,1
185,4,12,19,24,12,7,12,7,0,9,9,10,8,7,7,4,29,44,39,34,39,29,39,34,19,34,9,39,44,34,34,34,29,9,9,34,34,34,24,34,29,39,44,24,26,34,29,1
3889,11,11,9,14,4,9,9,7,9,7,9,6,8,8,4,10,34,39,39,39,29,24,34,44,39,39,39,44,39,29,39,29,14,29,4,44,29,14,9,34,39,49,24,4,33,29,39,0
745,11,7,14,9,4,9,17,9,0,7,12,7,9,9,9,0,39,44,39,44,49,44,44,39,49,39,34,9,9,9,49,39,39,34,39,44,39,4,44,39,39,44,19,9,34,24,39,0
4558,13,7,14,4,24,9,4,2,4,2,37,2,2,4,0,2,44,39,44,44,44,39,44,44,39,39,39,34,24,39,39,34,29,14,24,44,39,9,14,19,24,44,39,9,36,44,39,0
2257,16,6,9,9,12,8,7,10,5,5,7,8,10,9,8,6,39,39,39,39,39,34,34,34,34,34,34,24,24,24,44,34,34,34,34,44,44,24,34,34,34,44,24,34,25,29,34,1
621,9,8,39,39,7,4,14,4,2,14,4,9,7,9,9,7,34,44,39,34,34,24,24,24,24,24,24,9,14,9,49,49,49,9,4,34,19,19,44,44,39,39,14,14,44,24,24,0
2507,11,11,29,4,7,9,9,9,6,6,7,8,8,8,8,6,34,44,34,44,44,34,39,39,39,24,24,24,29,14,34,29,14,19,14,34,39,34,39,39,19,19,19,4,19,29,34,1
